comment,label
Cringe content,toxic
So clear and helpful,support
Can't believe people like this,toxic
Legend!,support
Stop making content,toxic
I learned a lot!,support
Waste of time,toxic
This helped me a lot!,support
Clickbait title,toxic
I learned a lot!,support
You're so dumb,toxic
Awesome explanation,support
Cringe content,toxic
Thanks for the content!,support
Cringe content,toxic
I learned a lot!,support
This is trash,toxic
Best tutorial I've seen,support
This is trash,toxic
Awesome explanation,support
Can't believe people like this,toxic
So clear and helpful,support
You're so dumb,toxic
Much appreciated!,support
Waste of time,toxic
I learned a lot!,support
Stop making content,toxic
Best tutorial I've seen,support
You sound horrible,toxic
So clear and helpful,support
Cringe content,toxic
Best tutorial I've seen,support
Clickbait title,toxic
You're amazing!,support
Clickbait title,toxic
This helped me a lot!,support
You're such a loser,toxic
Keep up the great work,support
You sound horrible,toxic
So clear and helpful,support
Stop making content,toxic
You're amazing!,support
Can't believe people like this,toxic
Legend!,support
Worst video ever,toxic
So clear and helpful,support
Waste of time,toxic
Awesome explanation,support
Stop making content,toxic
Awesome explanation,support
Waste of time,toxic
So clear and helpful,support
You're such a loser,toxic
Awesome explanation,support
This is trash,toxic
So clear and helpful,support
You sound horrible,toxic
You're amazing!,support
Cringe content,toxic
This helped me a lot!,support
This is trash,toxic
Keep up the great work,support
This is trash,toxic
I learned a lot!,support
Waste of time,toxic
Best tutorial I've seen,support
You're so dumb,toxic
Much appreciated!,support
Can't believe people like this,toxic
Best tutorial I've seen,support
Waste of time,toxic
Awesome explanation,support
Can't believe people like this,toxic
Keep up the great work,support
This is trash,toxic
So clear and helpful,support
Waste of time,toxic
You're amazing!,support
Worst video ever,toxic
Much appreciated!,support
You're such a loser,toxic
So clear and helpful,support
Worst video ever,toxic
Legend!,support
Stop making content,toxic
Much appreciated!,support
Waste of time,toxic
Legend!,support
Can't believe people like this,toxic
So clear and helpful,support
Waste of time,toxic
You're amazing!,support
This is trash,toxic
You're amazing!,support
Waste of time,toxic
So clear and helpful,support
Worst video ever,toxic
Legend!,support
Cringe content,toxic
I learned a lot!,support
